,Node_1,Node_2
765,ENSG00000063176,SPHK2
766,ENSG00000063177,RPL18
767,ENSG00000063180,CA11
768,ENSG00000063241,ISOC2
769,ENSG00000063244,U2AF2
770,ENSG00000063245,EPN1
771,ENSG00000063322,MED29
772,ENSG00000063438,AHRR
773,ENSG00000063587,ZNF275
774,ENSG00000063601,MTMR1
775,ENSG00000063660,GPC1
776,ENSG00000063761,ADCK1
777,ENSG00000063854,HAGH
778,ENSG00000063978,RNF4
779,ENSG00000064012,CASP8
780,ENSG00000064042,LIMCH1
781,ENSG00000064102,ASUN
782,ENSG00000064115,TM7SF3
783,ENSG00000064199,SPA17
784,ENSG00000064201,TSPAN32
785,ENSG00000064225,ST3GAL6
786,ENSG00000064270,ATP2C2
787,ENSG00000064300,NGFR
788,ENSG00000064309,CDON
789,ENSG00000064313,TAF2
790,ENSG00000064393,HIPK2
791,ENSG00000064419,TNPO3
792,ENSG00000064490,RFXANK
793,ENSG00000064545,TMEM161A
794,ENSG00000064547,LPAR2
795,ENSG00000064601,CTSA
796,ENSG00000064607,SUGP2
797,ENSG00000064651,SLC12A2
798,ENSG00000064652,SNX24
799,ENSG00000064666,CNN2
800,ENSG00000064687,ABCA7
801,ENSG00000064692,SNCAIP
802,ENSG00000064703,DDX20
803,ENSG00000064726,BTBD1
804,ENSG00000064763,FAR2
805,ENSG00000064787,BCAS1
806,ENSG00000064886,CHI3L2
807,ENSG00000064932,SBNO2
808,ENSG00000064933,PMS1
809,ENSG00000064961,HMG20B
810,ENSG00000064989,CALCRL
811,ENSG00000064995,TAF11
812,ENSG00000064999,ANKS1A
813,ENSG00000065000,AP3D1
814,ENSG00000065029,ZNF76
815,ENSG00000065054,SLC9A3R2
816,ENSG00000065057,NTHL1
817,ENSG00000065060,UHRF1BP1
818,ENSG00000065135,GNAI3
819,ENSG00000065150,IPO5
820,ENSG00000065154,OAT
821,ENSG00000065183,WDR3
822,ENSG00000065243,PKN2
823,ENSG00000065268,WDR18
824,ENSG00000065308,TRAM2
